automation_prob,soc_code,occupation_fo
0.92,51-7011,Cabinetmakers and bench carpenters
0.92,51-9123,"Painting, coating, and decorating workers"
0.92,47-4031,Fence erectors
0.92,51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic"
0.92,41-2031,Retail salespersons
0.92,35-3021,"Combined food preparation and serving workers, including fast food"
0.92,51-9399,"Production workers, all other"
0.92,47-3012,Helpers–carpenters
0.93,51-9193,Cooling and freezing equipment operators and tenders
0.93,51-2091,Fiberglass laminators and fabricators
0.93,47-5013,"Service unit operators, oil, gas, and mining"
0.93,53-7011,Conveyor operators and tenders
0.93,49-3053,Outdoor power equipment and other small engine mechanics
0.93,53-4012,Locomotive firers
0.93,53-7063,Machine feeders and offbearers
0.93,51-4061,"Model makers, metal and plastic"
0.93,49-2021,"Radio, cellular, and tower equipment installers and repairs"
0.93,51-3021,Butchers and meat cutters
0.93,51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
0.93,53-7081,Refuse and recyclable material collectors
0.93,13-2081,"Tax examiners and collectors, and revenue agents"
0.93,51-4022,"Forging machine setters, operators, and tenders, Metal and Plastic"
0.93,53-7051,Industrial truck and tractor operators
0.94,13-2011,Accountants and auditors
0.94,51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"
0.94,43-9051,"Mail clerks and mail machine operators, except postal service"
0.94,35-3031,Waiters and waitresses
0.94,51-3022,"Meat, poultry, and fish cutters and trimmers"
0.94,13-2031,Budget analysts
0.94,47-2051,Cement masons and concrete finishers
0.94,49-3091,Bicycle repairers
0.94,49-9091,"Coin, vending, and amusement machine servicers and repairers"
0.94,51-4121,"Welders, cutters, solderers, and brazers"
0.94,43-5021,Couriers and messengers
0.94,43-4111,"Interviewers, except eligibility and loan"
0.94,35-2015,"Cooks, short order"
0.94,53-7032,Excavating and loading machine and dragline operators
0.94,47-3014,"Helpers–painters, paperhangers, plasterers, and stucco masons"
0.94,43-4081,"Hotel, motel, and resort desk clerks"
0.94,51-9197,Tire builders
0.94,41-9091,"Door-to-door sales workers, news and street vendors, and related workers"
0.94,37-1011,First-line Supervisors of housekeeping and janitorial workers
0.94,45-2011,Agricultural inspectors
0.94,23-2011,Paralegals and legal assistants
0.95,39-5092,Manicurists and pedicurists
0.95,43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping"
0.95,51-6062,"Textile cutting machine setters, operators, and tenders"
0.95,43-3011,Bill and account collectors
0.95,51-8011,Nuclear power reactor operators
0.95,33-9031,Gaming surveillance officers and gaming investigators
0.95,43-4121,"Library assistants, clerical"
0.95,47-2073,Operating engineers and other construction equipment operators
0.95,51-5113,Print binding and finishing workers
0.95,45-2021,Animal breeders
0.95,51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic"
0.95,51-2022,Electrical and electronic equipment assemblers
0.95,51-9191,Adhesive bonding machine operators and tenders
0.95,37-3011,Landscaping and groundskeeping workers
0.95,51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
0.95,43-5051,Postal service clerks
0.95,51-9071,Jewelers and precious stone and metal workers
0.96,43-5032,"Dispatchers, except police, fire, and ambulance"
0.96,43-4171,Receptionists and information clerks
0.96,43-9061,"Office clerks, general"
0.96,11-3111,Compensation and benefits managers
